,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,90546.0713102231,97025.46099346264,97025.46099346264,97025.46099346121,97364.91782765786,229.49239055049838,7.321121452311389,0.11800000000000001,0.01,-6818.846517434761,0.03977775573730469,0.014600515365600586,0.0011453628540039062,0.001148223876953125,-0.001756906509399414,114
1,1,0,94725.8194393093,97025.46099346264,97025.46099346264,97025.46099346121,96944.30146452582,120.14173709599709,5.284165074590066,0.11800000000000001,0.01,-2218.4820252165273,0.1808929443359375,0.014981746673583984,0.0011630058288574219,0.0011260509490966797,-0.0017254352569580078,119
2,2,0,95897.0749544588,97025.46099346264,97025.46099346264,97025.46099346121,97059.69123961909,26.19516072369879,2.410603053178589,0.11800000000000001,0.01,-1162.6162851602915,0.03801155090332031,0.01491546630859375,0.0011272430419921875,0.0011684894561767578,-0.0018939971923828125,123
3,3,0,96608.2608083559,97025.46099346264,97025.46099346264,97025.46099346121,97045.79443979984,5.942932385485619,1.1113028437006993,0.11800000000000001,0.01,-437.533631443935,0.037214040756225586,0.01477670669555664,0.0011696815490722656,0.0011823177337646484,-0.0019180774688720703,130
4,4,0,96860.23125843403,97025.46099346264,97025.46099346264,97025.46099346121,97037.82326600234,3.446707065566443,0.8300603725039045,0.11800000000000001,0.01,-177.59200756830262,0.07146859169006348,0.014815568923950195,0.0012319087982177734,0.0011878013610839844,-0.0019176006317138672,138
5,5,0,96956.73888706096,97025.46099346264,97025.46099346264,97025.46099346121,97025.04071724671,1.085550718838931,0.3926621591425437,0.12390000000000001,0.01,-68.30183018575208,0.16626787185668945,0.015115737915039062,0.0016052722930908203,0.0012214183807373047,-0.001996278762817383,150
6,6,0,96999.64476315916,97025.46099346264,97025.46099346264,97025.46099346121,97024.46204664458,0.7892597540630959,0.3052161894950014,0.12390000000000001,0.01,-24.81728348542065,0.03913283348083496,0.014825820922851562,0.0012633800506591797,0.0012760162353515625,-0.002072572708129883,159
7,7,0,97007.38862093273,97025.46099346264,97025.46099346264,97025.46099346121,97026.22726577171,0.4525726599677,0.13178223138852085,0.12390000000000001,0.01,-18.8386448389782,0.18431878089904785,0.014788389205932617,0.0013284683227539062,0.0012862682342529297,-0.0021266937255859375,171
8,8,0,97018.6763117143,97025.46099346264,97025.46099346264,97025.46099346121,97025.8790025371,0.4018620235437993,0.10084843972650082,0.12390000000000001,0.01,-7.202690822797123,0.1536245346069336,0.01511526107788086,0.0013947486877441406,0.0012862682342529297,-0.0021190643310546875,185
9,9,0,97023.96621171573,97025.46099346264,97025.46099346264,97025.46099346121,97025.80815235272,0.3664612658030819,0.06432201733834812,0.12390000000000001,0.01,-1.841940636990608,0.1531069278717041,0.014696359634399414,0.0013606548309326172,0.0013086795806884766,-0.002240896224975586,199
10,10,0,97024.50890232061,97025.46099346264,97025.46099346264,97025.46099346121,97025.79386670834,0.35528291869559325,0.056589765585560434,0.13009500000000002,0.01,-1.2849643877295691,0.16832566261291504,0.015071868896484375,0.0016205310821533203,0.0013682842254638672,-0.002260446548461914,212
11,11,0,97024.93502010083,97025.46099346264,97025.46099346264,97025.46099346121,97025.78918735332,0.3332340541528538,0.043896234673084095,0.13009500000000002,0.01,-0.8541672524856948,0.16963529586791992,0.014659404754638672,0.0014138221740722656,0.0014946460723876953,-0.002573728561401367,229
12,12,0,97025.32697657979,97025.46099346264,97025.46099346264,97025.46099346121,97025.78377372316,0.32970169314648956,0.03831715952140305,0.13009500000000002,0.01,-0.45679714336763466,0.1711432933807373,0.014818429946899414,0.0013837814331054688,0.0015048980712890625,-0.002424478530883789,243
13,13,1,97025.53024637321,97025.53024637321,97025.53024637321,97025.53024636561,97025.77164299825,0.32809217990143225,0.03597151687394917,0.13009500000000002,0.01,-0.24139662503960227,0.16968345642089844,0.014666080474853516,0.001638174057006836,0.0015559196472167969,-0.0025777816772460938,259
14,14,1,97025.51943835584,97025.53024637321,97025.53024637321,97025.53024636561,97025.74329115708,0.263727583544096,0.026296743097635508,0.13009500000000002,0.01,-0.2238528012393166,0.1784963607788086,0.014673948287963867,0.001501321792602539,0.0016205310821533203,-0.0026292800903320312,278
15,15,2,97025.60970234455,97025.60970234455,97025.60970234455,97025.60970233797,97025.75748540455,0.2582613252889132,0.021648032220087918,0.12359025000000001,0.01,-0.14778306000186012,0.1933131217956543,0.015212059020996094,0.002138853073120117,0.0016818046569824219,-0.0027637481689453125,309
16,16,3,97025.62292899743,97025.62292899743,97025.62292899743,97025.62292899113,97025.75015474034,0.17945218020759057,0.01548376144126628,0.1174107375,0.01,-0.12722574291148797,0.2085275650024414,0.01466226577758789,0.0022325515747070312,0.0018270015716552734,-0.003087282180786133,343
17,17,3,97025.61316110901,97025.62292899743,97025.62292899743,97025.62292899113,97025.75818689313,0.15892139927018434,0.009653502115838757,0.1174107375,0.01,-0.1450257841187325,0.21991443634033203,0.014623165130615234,0.001161336898803711,0.0019421577453613281,-0.003162384033203125,351
18,18,4,97025.67990026556,97025.67990026556,97025.67990026556,97025.67990025709,97025.76157007884,0.15588944478076883,0.011892514193359658,0.111540200625,0.01,-0.08166981327856308,0.22247886657714844,0.014731168746948242,0.0017819404602050781,0.0019125938415527344,-0.0031883716583251953,368
19,19,5,97025.69972377413,97025.69972377413,97025.69972377413,97025.69972376735,97025.768004847,0.0988135081861401,0.01162712667760922,0.10596319059374999,0.01,-0.06828107287733853,0.23173069953918457,0.014761686325073242,0.0017733573913574219,0.0020685195922851562,-0.0034589767456054688,388
20,20,5,97025.68115294914,97025.69972377413,97025.69972377413,97025.69972376735,97025.77601746975,0.07890652619244065,0.011122968514457916,0.10596319059374999,0.01,-0.09486452060259233,0.2377004623413086,0.014691591262817383,0.0009658336639404297,0.0021398067474365234,-0.0034923553466796875,389
21,21,6,97025.73058131413,97025.73058131413,97025.73058131413,97025.7305813057,97025.77189300655,0.07803788188903127,0.011291850592834302,0.1006650310640625,0.01,-0.04131169241226756,0.2458345890045166,0.014670610427856445,0.0019097328186035156,0.0021181106567382812,-0.0034422874450683594,305
