,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,-4617013002.509923,1204694.3935251932,1204694.3935251932,1204694.3935251932,1208968.2040533274,3355.921565113822,114.18257823440972,2.746,0.01,-4618221970.713976,0.8599271774291992,0.4051804542541504,0.018599510192871094,0.008224725723266602,-0.02136826515197754,2655
1,1,0,-19945301.662206464,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207592.9953956637,1928.0654397066683,71.9119368018512,2.746,0.01,-21152894.657602128,0.8851232528686523,0.39368772506713867,0.019840240478515625,0.007317781448364258,-0.020534515380859375,2656
2,2,0,-507404.67820046376,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207590.2290089638,1930.1459373591933,71.83994884669832,2.746,0.01,-1714994.9072094276,0.2578451633453369,0.39463114738464355,0.019614458084106445,0.007224321365356445,-0.020467281341552734,2658
3,3,0,651282.1693668318,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207589.9458916327,1930.0567403498571,71.84056393421115,2.746,0.01,-556307.7765248009,0.25651979446411133,0.3940103054046631,0.01979207992553711,0.007193088531494141,-0.020348072052001953,2660
4,4,0,1052052.383896168,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207589.7570895667,1930.0741093461402,71.83928431461636,2.746,0.01,-155537.37319339853,0.2582099437713623,0.39350199699401855,0.019948720932006836,0.007311820983886719,-0.020357370376586914,2662
5,5,0,1166420.2418341022,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207589.690969833,1930.0558452354744,71.83884157797567,2.8833,0.01,-41169.44913573071,0.25872373580932617,0.39405155181884766,0.02043890953063965,0.009129762649536133,-0.020451068878173828,2665
6,6,0,433856.0437379817,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207514.3131952973,1882.4123337655328,73.18418380644557,2.8833,0.01,-773658.2694573156,0.43459177017211914,0.40621376037597656,0.019465208053588867,0.008358001708984375,-0.021486282348632812,2667
7,7,0,1202386.8073750532,1204694.3935251932,1204694.3935251932,1204694.3935251932,1207514.25990122,1882.4642228425946,73.18139010924033,2.8833,0.01,-5127.452526166731,0.26424098014831543,0.4000818729400635,0.01893758773803711,0.007493019104003906,-0.0205533504486084,2668
8,8,1,1205508.3580569522,1205508.3580569522,1205508.3580569522,1205508.3580540416,1207516.6099337712,1882.351152020041,73.25105384956153,2.8833,0.01,-2008.2518768189968,0.42144012451171875,0.40032267570495605,0.020107269287109375,0.007364034652709961,-0.02043914794921875,2671
9,9,2,1205999.428744651,1205999.428744651,1205999.428744651,1205999.4287366455,1208195.4428761548,2227.7378229838796,28.297524808318474,2.739135,0.01,-2196.0141315039373,0.4195735454559326,0.3935985565185547,0.020262956619262695,0.007358551025390625,-0.020912885665893555,2674
10,10,2,1205612.6191816516,1205999.428744651,1205999.428744651,1205999.4287366455,1207995.3571199605,1808.7652048296295,19.61447532703189,2.739135,0.01,-2382.737938308872,0.7376017570495605,0.39263343811035156,0.02003002166748047,0.007276773452758789,-0.020444154739379883,2678
