,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,-835550880.4493338,2446454.8464138173,2446454.8464138173,2446454.8464138173,2464759.273106505,8724.271883793175,197.23806425365382,2.869,0.01,-838015639.7224402,0.9820849895477295,0.3894376754760742,0.019905805587768555,0.007831573486328125,-0.020866870880126953,2701
1,1,0,-1179858.0593633186,2446454.8464138173,2446454.8464138173,2446454.8464138173,2454272.2751538223,5075.593428472988,91.05740066285672,2.869,0.01,-3634130.334517141,4.726211071014404,0.39209961891174316,0.020616531372070312,0.008214712142944336,-0.021846771240234375,2705
2,2,0,-2307984.872072648,2446454.8464138173,2446454.8464138173,2446454.8464138173,2454397.6558919405,4023.4299498228356,91.72246151355147,2.869,0.01,-4762382.527964588,1.023226261138916,0.38690853118896484,0.020560026168823242,0.007899999618530273,-0.021704912185668945,2706
3,3,0,47399.26924176933,2446454.8464138173,2446454.8464138173,2446454.8464138173,2453629.8272302034,4148.447085562162,81.73339903391346,2.869,0.01,-2406230.557988434,4.797831296920776,0.3883988857269287,0.02080988883972168,0.007824897766113281,-0.021251916885375977,2708
4,4,0,1073133.8282014048,2446454.8464138173,2446454.8464138173,2446454.8464138173,2453511.356286808,2153.558659088332,80.12099094577792,2.869,0.01,-1380377.5280854031,1.0667686462402344,0.3893868923187256,0.020572900772094727,0.007813215255737305,-0.02104926109313965,2711
5,5,0,1679661.7839688957,2446454.8464138173,2446454.8464138173,2446454.8464138173,2453243.2426902973,2131.677473508287,76.94821186975291,3.0124500000000003,0.01,-773581.4587214018,4.861222743988037,0.3888742923736572,0.021172285079956055,0.007889032363891602,-0.02079319953918457,2716
6,6,0,2019756.5821603397,2446454.8464138173,2446454.8464138173,2446454.8464138173,2452673.4333363115,2749.4366709073074,74.88108248504362,3.0124500000000003,0.01,-432916.8511759719,4.755047798156738,0.39716196060180664,0.020905733108520508,0.007841825485229492,-0.02108621597290039,2723
7,7,0,2236818.788509981,2446454.8464138173,2446454.8464138173,2446454.8464138173,2452373.3210064536,3026.67587375734,72.84369587757517,3.0124500000000003,0.01,-215554.53249647282,1.0132582187652588,0.39173221588134766,0.020605087280273438,0.007999181747436523,-0.021256208419799805,2730
8,8,0,2331981.096773481,2446454.8464138173,2446454.8464138173,2446454.8464138173,2452005.6360891513,2767.867678478826,69.60034777121939,3.0124500000000003,0.01,-120024.53931567009,4.807052135467529,0.4073789119720459,0.021460533142089844,0.00787806510925293,-0.021108627319335938,2738
9,9,0,2397204.475166264,2446454.8464138173,2446454.8464138173,2446454.8464138173,2451088.2037775754,3627.482015743386,61.54607611205367,3.0124500000000003,0.01,-53883.72861131121,4.73905611038208,0.39160585403442383,0.021463871002197266,0.00800776481628418,-0.021214962005615234,2747
10,10,0,2417001.359244794,2446454.8464138173,2446454.8464138173,2446454.8464138173,2450927.867792856,1689.7788666975684,59.92857458665116,3.1630725000000006,0.01,-33926.50854806169,1.0136408805847168,0.39490509033203125,0.021459341049194336,0.00800013542175293,-0.021794557571411133,2759
11,11,0,2430999.4212034894,2446454.8464138173,2446454.8464138173,2446454.8464138173,2450158.7226762543,2762.7992133586667,55.78584299328952,3.1630725000000006,0.01,-19159.30147276514,4.787154674530029,0.3967256546020508,0.020431041717529297,0.008114337921142578,-0.02121710777282715,2770
12,12,0,2434501.9541949313,2446454.8464138173,2446454.8464138173,2446454.8464138173,2450227.536620281,2002.0380854923278,56.25181651775744,3.1630725000000006,0.01,-15725.582425350021,1.0228371620178223,0.3951144218444824,0.020825624465942383,0.008169889450073242,-0.02130436897277832,2788
13,13,0,2440776.8372024563,2446454.8464138173,2446454.8464138173,2446454.8464138173,2449063.242471247,2224.4855697914027,50.50618647668174,3.1630725000000006,0.01,-8286.40526879077,4.681369066238403,0.3994777202606201,0.021109819412231445,0.008191347122192383,-0.021564006805419922,2806
14,14,0,2398922.6550229206,2446454.8464138173,2446454.8464138173,2446454.8464138173,2449162.0694217538,1713.2030146424659,50.6257434215221,3.1630725000000006,0.01,-50239.4143988332,1.9492557048797607,0.3989250659942627,0.02066946029663086,0.008258581161499023,-0.021532297134399414,2807
15,15,0,2443336.965593554,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448790.62700626,1254.417939175386,48.37637782661324,3.321226125000001,0.01,-5453.66141270611,4.7460362911224365,0.3922576904296875,0.02190995216369629,0.008333683013916016,-0.024126291275024414,2833
16,16,0,2441517.0537775788,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448349.358554525,1590.9671188080683,47.767583288091515,3.321226125000001,0.01,-6832.3047769459545,2.024292469024658,0.4061124324798584,0.020610332489013672,0.008376598358154297,-0.021756649017333984,2836
17,17,0,2445209.7844556365,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448213.666321181,1880.8820239338093,47.67405021341489,3.321226125000001,0.01,-3003.881865544884,1.0300743579864502,0.4056282043457031,0.021288394927978516,0.008497238159179688,-0.022314071655273438,2861
18,18,0,2436658.7161517227,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448637.792633843,1381.1466538817622,47.80672471489141,3.321226125000001,0.01,-11979.076482120236,1.0465741157531738,0.4049665927886963,0.02045297622680664,0.008660316467285156,-0.02208232879638672,2862
19,19,0,2446068.1975112893,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448259.75972851,2166.148878198117,46.66296256332011,3.321226125000001,0.01,-2191.5622172206213,4.860770225524902,0.4036228656768799,0.0214993953704834,0.008532047271728516,-0.022229671478271484,2893
20,20,0,2443847.0132189235,2446454.8464138173,2446454.8464138173,2446454.8464138173,2448865.867468785,1159.4597331341356,48.85150521304163,3.487287431250001,0.01,-5018.854249861682,1.046724796295166,0.3990044593811035,0.02138543128967285,0.008762359619140625,-0.022676944732666016,2915
21,21,1,2446967.524716055,2446967.524716055,2446967.524716055,2446967.5247145374,2448223.2771352427,2831.8901977553032,46.15679615746036,3.487287431250001,0.01,-1255.7524191877912,4.804781675338745,0.40061283111572266,0.02173137664794922,0.008677482604980469,-0.022469043731689453,2954
22,22,1,2434232.856780757,2446967.524716055,2446967.524716055,2446967.5247145374,2449529.3092020047,1009.7689132988453,49.372088348755696,3.487287431250001,0.01,-15296.452421247704,1.041468858718872,0.39203429222106934,0.020534753799438477,0.008808135986328125,-0.022869586944580078,2956
23,23,1,2445393.640808692,2446967.524716055,2446967.524716055,2446967.5247145374,2448535.221932531,1212.8393730898388,33.75349855353792,3.487287431250001,0.01,-3141.581123838647,4.902540445327759,0.39409351348876953,0.021776199340820312,0.008888006210327148,-0.022612810134887695,2991
24,24,1,2446278.368504496,2446967.524716055,2446967.524716055,2446967.5247145374,2448750.090801088,467.37124981870875,29.68554657612673,3.487287431250001,0.01,-2471.7222965922538,1.9759445190429688,0.38786745071411133,0.021990060806274414,0.009031057357788086,-0.023263216018676758,3037
25,25,1,2443872.2384145968,2446967.524716055,2446967.524716055,2446967.5247145374,2449914.4276740393,1184.1728015071712,35.83559080868561,3.487287431250001,0.01,-6042.189259442359,1.0272917747497559,0.3885796070098877,0.022036075592041016,0.009217500686645508,-0.023372650146484375,3085
26,26,1,2446938.5512732654,2446967.524716055,2446967.524716055,2446967.5247145374,2448252.2808820186,1828.85655845562,27.282738076189666,3.487287431250001,0.01,-1313.7296087531588,4.861474990844727,0.3881354331970215,0.02336859703063965,0.009391307830810547,-0.02373027801513672,3170
27,27,1,2446900.051376054,2446967.524716055,2446967.524716055,2446967.5247145374,2449010.120858399,1941.9108984470367,26.664823890887273,3.661651802812501,0.01,-2110.0694823450735,2.0318403244018555,0.39501094818115234,0.02436518669128418,0.009629011154174805,-0.02429509162902832,3262
28,28,2,2447350.428676557,2447350.428676557,2447350.428676557,2447350.428673738,2448736.2663325914,1764.7703411546536,25.75216958272356,3.661651802812501,0.01,-1385.8376560347272,2.028343915939331,0.38889575004577637,0.025355815887451172,0.010008096694946289,-0.02546977996826172,3378
29,29,2,2422848.904149924,2447350.428676557,2447350.428676557,2447350.428673738,2448959.612024405,1684.2051278310828,24.5805887146363,3.661651802812501,0.01,-26110.707874480948,2.0842087268829346,0.40354180335998535,0.02102208137512207,0.010546445846557617,-0.02596759796142578,3379
30,30,2,2444479.393188281,2447350.428676557,2447350.428676557,2447350.428673738,2448952.829439784,1647.14060352277,23.890686406583956,3.661651802812501,0.01,-4473.436251503002,2.054824113845825,0.38816380500793457,0.020482778549194336,0.01050257682800293,-0.025644302368164062,3381
31,31,2,2446506.758969757,2447350.428676557,2447350.428676557,2447350.428673738,2448930.503437658,1639.3955072588287,23.264224357132736,3.661651802812501,0.01,-2423.744467900892,2.0819311141967773,0.3876495361328125,0.02086806297302246,0.010553598403930664,-0.02586960792541504,3385
32,32,2,2446787.582081252,2447350.428676557,2447350.428676557,2447350.428673738,2448931.97284588,1628.6584741468541,22.67760335744797,3.661651802812501,0.01,-2144.390764627846,2.0711867809295654,0.3894689083099365,0.021341562271118164,0.010427713394165039,-0.025878190994262695,3397
33,33,2,2446728.229460677,2447350.428676557,2447350.428676557,2447350.428673738,2448618.333985339,1319.1604417408817,20.69122806193578,3.661651802812501,0.01,-1890.1045246615681,9.14641785621643,0.3900775909423828,0.021725893020629883,0.010659456253051758,-0.026557207107543945,3437
34,34,2,2446524.8777790973,2447350.428676557,2447350.428676557,2447350.428673738,2448442.0228892327,692.1902059405111,19.361084976596548,3.844734392953126,0.01,-1917.1451101353434,4.997884750366211,0.3859386444091797,0.021590709686279297,0.010849714279174805,-0.026465415954589844,3449
35,35,2,2447042.2360562375,2447350.428676557,2447350.428676557,2447350.428673738,2448586.363623836,1349.759126347024,17.769593879684543,3.844734392953126,0.01,-1544.127567598824,5.087988615036011,0.39345383644104004,0.027231693267822266,0.010869741439819336,-0.02635025978088379,3660
36,36,2,2447325.6233498952,2447350.428676557,2447350.428676557,2447350.428673738,2448538.841493495,387.75703947246075,16.960683831959784,3.844734392953126,0.01,-1213.2181435994216,5.189807891845703,0.3897402286529541,0.025981903076171875,0.011697530746459961,-0.028345108032226562,3821
37,37,3,2447415.352610251,2447415.352610251,2447415.352610251,2447415.352607844,2448505.1839563167,1943.2669401369058,16.96965257946602,3.844734392953126,0.01,-1089.831346065615,2.1535022258758545,0.39003562927246094,0.03221845626831055,0.012289762496948242,-0.0292203426361084,4131
38,38,3,2407948.3659075755,2447415.352610251,2447415.352610251,2447415.352607844,2448718.0897826063,339.50972002372146,14.792597460418433,3.844734392953126,0.01,-40769.72387503093,5.474014043807983,0.39308762550354004,0.021120309829711914,0.014082670211791992,-0.031192541122436523,4132
39,39,3,2443664.2066296525,2447415.352610251,2447415.352610251,2447415.352607844,2448731.429743084,1160.5559585574083,14.043731222722382,3.844734392953126,0.01,-5067.22311343181,5.4693076610565186,0.3937869071960449,0.020839691162109375,0.013872623443603516,-0.03212738037109375,4135
40,40,3,2443320.680114152,2447415.352610251,2447415.352610251,2447415.352607844,2448841.5970187606,700.5610922109336,14.390446353174243,3.844734392953126,0.01,-5520.916904608617,5.486217021942139,0.3919095993041992,0.02051568031311035,0.01369619369506836,-0.03144502639770508,4136
41,41,3,2445869.91299553,2447415.352610251,2447415.352610251,2447415.352607844,2448750.9507467966,157.76175766810775,13.404521270511673,3.844734392953126,0.01,-2881.037751266518,5.466700792312622,0.3985936641693115,0.02159285545349121,0.013950109481811523,-0.03140091896057129,4140
42,42,3,2446138.255776993,2447415.352610251,2447415.352610251,2447415.352607844,2448442.480382394,10.09913283912465,12.284372121231797,3.844734392953126,0.01,-2304.224605401233,5.94343638420105,0.39278149604797363,0.020993709564208984,0.014288902282714844,-0.032863616943359375,4148
43,43,3,2446417.39491994,2447415.352610251,2447415.352610251,2447415.352607844,2449036.7373460922,753.910459806677,16.558595096458063,4.036971112600782,0.01,-2619.342426152483,9.974678993225098,0.39881134033203125,0.02286553382873535,0.01443338394165039,-0.03191351890563965,4173
44,44,3,2447222.655338135,2447415.352610251,2447415.352610251,2447415.352607844,2448555.1526175826,396.1268029939383,13.075452404253808,4.036971112600782,0.01,-1332.4972794472756,9.83875060081482,0.39637303352355957,0.021411418914794922,0.014610528945922852,-0.032851219177246094,4202
45,45,3,2446444.8865772593,2447415.352610251,2447415.352610251,2447415.352607844,2449189.2802999113,2121.4478942314163,19.43616705124755,4.036971112600782,0.01,-2744.3937226520397,1.2058541774749756,0.39418554306030273,0.028313875198364258,0.014880657196044922,-0.03206038475036621,4423
46,46,3,2447281.3079344276,2447415.352610251,2447415.352610251,2447415.352607844,2448751.6045312015,1726.7759157554246,14.459290568081624,4.036971112600782,0.01,-1470.29659677395,5.623199701309204,0.398329496383667,0.026668548583984375,0.015050172805786133,-0.03390192985534668,4576
47,47,3,2446251.299628926,2447415.352610251,2447415.352610251,2447415.352607844,2449208.8192969644,54.85780216893181,19.792419336050585,4.036971112600782,0.01,-2957.5196680384174,5.705687522888184,0.3942577838897705,0.020472288131713867,0.016399860382080078,-0.03570890426635742,4579
48,48,3,2447298.9383340213,2447415.352610251,2447415.352610251,2447415.352607844,2448394.4104426736,870.6377112609334,13.186865356887182,4.238819668230821,0.01,-1095.4721086521906,5.758118629455566,0.3959524631500244,0.02118372917175293,0.01618504524230957,-0.03476572036743164,4584
49,49,3,2447376.483929903,2447415.352610251,2447415.352610251,2447415.352607844,2448781.483465258,328.9287648512982,15.131902175617265,4.238819668230821,0.01,-1404.9995353552247,2.372197389602661,0.3956155776977539,0.02440190315246582,0.01673603057861328,-0.034735918045043945,4679
50,50,3,2444508.4310738244,2447415.352610251,2447415.352610251,2447415.352607844,2445356.4144828026,3502.59430611087,59.710273832163224,4.238819668230821,0.01,-847.9834089781176,2.41051983833313,0.3995699882507324,0.030538320541381836,0.017308950424194336,-0.03619694709777832,5009
51,51,3,2447367.045801638,2447415.352610251,2447415.352610251,2447415.352607844,2448850.1232825564,296.91969012701884,15.943638475203665,4.238819668230821,0.01,-1483.0774809180548,6.030308961868286,0.39473438262939453,0.020782470703125,0.018369674682617188,-0.03774714469909668,5016
52,52,4,2447648.282585569,2447648.282585569,2447648.282585569,2447648.2825813983,2448648.224621648,2386.765297337901,14.416740719593122,4.238819668230821,0.01,-999.9420360789071,6.009299278259277,0.400454044342041,0.021693706512451172,0.01908707618713379,-0.03794527053833008,5032
53,53,4,2373403.8866822594,2447648.282585569,2447648.282585569,2447648.2825813983,2448555.246545674,1135.2965319263749,13.210554789304037,4.238819668230821,0.01,-75151.35986341455,2.4946417808532715,0.4061126708984375,0.020726680755615234,0.018570661544799805,-0.03790020942687988,5033
54,54,4,2441714.9592573745,2447648.282585569,2447648.282585569,2447648.2825813983,2449096.8442314705,983.2285230713896,15.55357335041442,4.238819668230821,0.01,-7381.884974096079,6.116380214691162,0.4000551700592041,0.0206296443939209,0.018027782440185547,-0.03832840919494629,5039
55,55,4,2445418.14193777,2447648.282585569,2447648.282585569,2447648.2825813983,2448686.9964760975,231.80368554405868,11.561477809652697,4.238819668230821,0.01,-3268.8545383276487,6.115211248397827,0.40009403228759766,0.02123117446899414,0.018748044967651367,-0.038103342056274414,5046
56,56,4,2445829.395690691,2447648.282585569,2447648.282585569,2447648.2825813983,2448297.8755991226,629.0531239341944,11.848766068949761,4.238819668230821,0.01,-2468.479908431438,15.669299364089966,0.40297722816467285,0.02073526382446289,0.018741130828857422,-0.038396596908569336,5053
57,57,4,2446911.9460847066,2447648.282585569,2447648.282585569,2447648.2825813983,2448440.42729197,236.3163200248964,10.628451003135714,4.238819668230821,0.01,-1528.48120726338,15.531165361404419,0.40232372283935547,0.021394729614257812,0.018578529357910156,-0.03850197792053223,5062
58,58,4,2444431.812583525,2447648.282585569,2447648.282585569,2447648.2825813983,2449845.641516957,716.6527430494316,26.42800016245004,4.450760651642362,0.01,-5413.82893343194,1.3147356510162354,0.3982725143432617,0.02165508270263672,0.01903557777404785,-0.03909778594970703,5074
59,59,4,2447348.198813753,2447648.282585569,2447648.282585569,2447648.2825813983,2448591.9750055047,552.2024323241785,10.24288992388263,4.450760651642362,0.01,-1243.7761917513706,6.28161883354187,0.4220590591430664,0.02195119857788086,0.019486427307128906,-0.03812718391418457,5086
60,60,4,2446817.214267498,2447648.282585569,2447648.282585569,2447648.2825813983,2449082.810592425,134.12889127386734,14.283070170347717,4.450760651642362,0.01,-2265.5963249272518,15.711448192596436,0.40865635871887207,0.021544456481933594,0.019374847412109375,-0.03934788703918457,5106
61,61,4,2447347.1366138943,2447648.282585569,2447648.282585569,2447648.2825813983,2448320.7800210067,714.581632591784,11.484336727088346,4.450760651642362,0.01,-973.6434071126098,6.151131629943848,0.40126657485961914,0.021439552307128906,0.01988530158996582,-0.03890800476074219,5109
62,62,4,2447561.914810763,2447648.282585569,2447648.282585569,2447648.2825813983,2448382.6101770774,693.9544657561928,10.964012078997031,4.450760651642362,0.01,-820.695366313917,6.0508873462677,0.3968467712402344,0.021314382553100586,0.020717144012451172,-0.03997445106506348,5134
63,63,4,2447163.1442722,2447648.282585569,2447648.282585569,2447648.2825813983,2448932.05568446,628.1443585255183,12.452023242829577,4.673298684224481,0.01,-1768.9114122599353,2.5501437187194824,0.39710116386413574,0.029948711395263672,0.02009749412536621,-0.038518667221069336,5410
64,64,5,2447730.4446025616,2447730.4446025616,2447730.4446025616,2447730.444600088,2448560.695143635,543.3028455167077,10.143334015626131,4.673298684224481,0.01,-830.2505410732612,6.254882335662842,0.40656042098999023,0.03489375114440918,0.021540164947509766,-0.04089212417602539,5839
65,65,5,2380418.8906799294,2447730.4446025616,2447730.4446025616,2447730.444600088,2448556.0468137986,203.7743619075045,10.072277004854213,4.673298684224481,0.01,-68137.15613386926,2.6820108890533447,0.39961791038513184,0.02054738998413086,0.022500038146972656,-0.04448843002319336,5840
66,66,5,2437737.2391966274,2447730.4446025616,2447730.4446025616,2447730.444600088,2448294.0912575037,668.4529346241616,10.323106422842741,4.673298684224481,0.01,-10556.85206087628,6.5815770626068115,0.40712952613830566,0.020879030227661133,0.023014545440673828,-0.04403233528137207,5841
67,67,5,2446602.957108222,2447730.4446025616,2447730.4446025616,2447730.444600088,2448479.952092309,1178.0619688984007,9.084311055016519,4.673298684224481,0.01,-1876.9949840869149,6.592336654663086,0.41496849060058594,0.020966291427612305,0.02316737174987793,-0.04450178146362305,5844
