,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,-2047241244.281157,2090926.8783114485,2090926.8783114485,2090926.8783114485,2097275.460647922,7521.220330914715,135.12513032625503,3.12,0.01,-2049338519.7418048,0.9594972133636475,0.43375086784362793,0.020772457122802734,0.008276700973510742,-0.022781848907470703,3042
1,1,0,-70004014.77120312,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096724.9618733586,3515.528885567561,122.41697300882339,3.12,0.01,-72100739.73307647,1.857978105545044,0.45879244804382324,0.02170538902282715,0.008262157440185547,-0.02339911460876465,3044
2,2,0,-730532.3171796191,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096661.7912570268,3426.908962646965,120.95167550974621,3.12,0.01,-2827194.108436646,0.9945933818817139,0.45539212226867676,0.021986722946166992,0.008703947067260742,-0.024262666702270508,3046
3,3,0,1623791.0919979475,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096640.3090448151,3409.9068193510175,120.8485202319084,3.12,0.01,-472849.2170468677,1.0421514511108398,0.4842336177825928,0.026237010955810547,0.008647680282592773,-0.024558305740356445,3048
4,4,0,1963660.4448363835,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096640.7722951737,3409.144177908078,120.8431365289765,3.12,0.01,-132980.32745879036,0.9790453910827637,0.4799010753631592,0.027388811111450195,0.008590221405029297,-0.02725982666015625,3051
5,5,0,2055210.564230334,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096640.7704707456,3409.0021410316695,120.84235462068423,3.2760000000000002,0.01,-41430.20624041164,0.980039119720459,0.4829850196838379,0.026642799377441406,0.008507251739501953,-0.02776813507080078,3055
6,6,0,2082574.1426503141,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096410.3945914847,3281.907430949388,121.10498243023582,3.2760000000000002,0.01,-13836.251941170472,0.9976828098297119,0.4809563159942627,0.026642560958862305,0.008558034896850586,-0.02671980857849121,3061
7,7,0,2090605.8940942793,2090926.8783114485,2090926.8783114485,2090926.8783114485,2096394.8896424817,3279.188408208778,121.00152738376931,3.2760000000000002,0.01,-5788.995548202373,1.0760431289672852,0.44313859939575195,0.02310800552368164,0.008617877960205078,-0.027683019638061523,3068
8,8,1,2093371.4693946838,2093371.4693946838,2093371.4693946838,2093371.4693919758,2096400.6692255181,3273.199936180841,121.09554962137035,3.2760000000000002,0.01,-3029.199830834341,1.013556718826294,0.44863367080688477,0.022071361541748047,0.008763790130615234,-0.02471923828125,3073
9,9,1,376792.10357931466,2093371.4693946838,2093371.4693946838,2093371.4693919758,2100091.0630334136,4915.881672682241,109.5299795528007,3.2760000000000002,0.01,-1723298.959454099,1.1008694171905518,0.46089625358581543,0.021991491317749023,0.008905887603759766,-0.024187564849853516,3074
10,10,1,1722752.4912022203,2093371.4693946838,2093371.4693946838,2093371.4693919758,2100089.9829540127,4920.324079087935,109.49962810038383,3.2760000000000002,0.01,-377337.4917517923,0.2949697971343994,0.44379234313964844,0.02245926856994629,0.008499860763549805,-0.024289608001708984,3075
11,11,1,2088842.5101955892,2093371.4693946838,2093371.4693946838,2093371.4693919758,2100089.589019233,4919.752422892023,109.48286326453812,3.2760000000000002,0.01,-11247.078823643838,0.2969222068786621,0.44730234146118164,0.021387338638305664,0.008471012115478516,-0.024708986282348633,3076
12,12,2,2094044.3543225285,2094044.3543225285,2094044.3543225285,2094044.3543161063,2100089.211919826,4919.424079379067,109.46706623595799,3.2760000000000002,0.01,-6044.8575972974995,0.2957789897918701,0.44426822662353516,0.02329254150390625,0.00857090950012207,-0.023488759994506836,3080
13,13,3,2097473.5300612277,2097473.5300612277,2097473.5300612277,2097473.5300541325,2103483.311670904,7670.529059144203,104.81886615671661,3.1122,0.01,-6009.78160967626,0.8475997447967529,0.4548313617706299,0.023507356643676758,0.008536100387573242,-0.02458500862121582,3086
14,14,4,2100716.0069503817,2100716.0069503817,2100716.0069503817,2100716.0069423304,2106892.298469335,7568.405797581188,102.5754078158896,2.95659,0.01,-6176.291518953209,0.6732616424560547,0.44489216804504395,0.0226137638092041,0.008600234985351562,-0.023586750030517578,3094
15,15,5,2103814.6548692654,2103814.6548692654,2103814.6548692654,2103814.654858439,2109886.916914074,6959.157059752848,90.43713338734062,2.8087604999999995,0.01,-6072.262044808595,1.019444227218628,0.4506995677947998,0.023099899291992188,0.008593082427978516,-0.023567914962768555,3105
16,16,6,2105952.2533579413,2105952.2533579413,2105952.2533579413,2105952.2533433936,2112496.6295672567,6048.051641242579,80.59188891878499,2.6683224749999996,0.01,-6544.376209315211,1.0253212451934814,0.4449729919433594,0.028047800064086914,0.008710622787475586,-0.024106740951538086,2395
17,17,7,2107665.7273084144,2107665.7273084144,2107665.7273084144,2107665.727293713,2113820.2957046838,4180.241920605302,65.2784907768081,2.5349063512499996,0.01,-6154.568396269168,0.9600577354431152,0.4446549415588379,0.02461862564086914,0.008124351501464844,-0.019428491592407227,2442
18,18,8,2108443.4948425507,2108443.4948425507,2108443.4948425507,2108443.494824187,2114933.0102198734,3808.374729907606,63.595651846945024,2.654997539640468,0.01,-6489.515377322639,0.9687759876251221,0.44485020637512207,0.21631598472595215,0.008318662643432617,-0.019647598266601562,2573
19,19,8,-1011563589.8663336,2108443.4948425507,2108443.4948425507,2108443.494824187,2115530.0113981655,3425.3366182204336,56.0566494014179,2.654997539640468,0.01,-1013679119.8777318,0.993577241897583,0.4506103992462158,0.022335290908813477,0.008423805236816406,-0.020613431930541992,2574
20,20,8,-43781063.50543435,2108443.4948425507,2108443.4948425507,2108443.494824187,2115159.6249274043,2747.9543727100827,58.209237839590216,2.654997539640468,0.01,-45896223.13036175,0.9836423397064209,0.44515323638916016,0.021938085556030273,0.008566617965698242,-0.021111011505126953,2575
21,21,8,-114973.44037518976,2108443.4948425507,2108443.4948425507,2108443.494824187,2115091.137019815,2611.282308632508,58.99546156060932,2.654997539640468,0.01,-2230064.5773950047,0.9802954196929932,0.4459500312805176,0.02239537239074707,0.00842595100402832,-0.02085113525390625,2576
22,22,8,1104787.3061193186,2108443.4948425507,2108443.4948425507,2108443.494824187,2115024.140430554,2479.1666500316933,59.844422605253996,2.654997539640468,0.01,-1010236.8343112353,0.973691463470459,0.4472193717956543,0.022248029708862305,0.008466005325317383,-0.02077031135559082,2577
23,23,8,1540442.6838852395,2108443.4948425507,2108443.4948425507,2108443.494824187,2114998.790359085,2435.419694053475,60.3091439845959,2.654997539640468,0.01,-574556.1064738453,0.9698374271392822,0.4472215175628662,0.022807598114013672,0.008352041244506836,-0.020710468292236328,2579
24,24,8,1961867.4967289236,2108443.4948425507,2108443.4948425507,2108443.494824187,2114988.264593455,2432.454592141323,60.33766631110567,2.7877474166224916,0.01,-153120.76786453137,0.6785581111907959,0.45020198822021484,0.022450923919677734,0.008904695510864258,-0.022144317626953125,2580
25,25,8,2039897.2836139544,2108443.4948425507,2108443.4948425507,2108443.494824187,2114987.0229230234,2394.059571551159,60.42796121443673,2.7877474166224916,0.01,-75089.73930906896,0.8317804336547852,0.45300984382629395,0.026649951934814453,0.008441686630249023,-0.020780563354492188,2582
26,26,8,2089753.8945680913,2108443.4948425507,2108443.4948425507,2108443.494824187,2114980.125976224,2387.45757922763,60.50991606314034,2.7877474166224916,0.01,-25226.231408132626,0.8600854873657227,0.46544957160949707,0.02246379852294922,0.00969552993774414,-0.023869991302490234,2585
27,27,8,2103463.1073304806,2108443.4948425507,2108443.4948425507,2108443.494824187,2114976.340599846,2381.5378501219675,60.56846547845064,2.7877474166224916,0.01,-11513.233269365584,0.9806478023529053,0.44583678245544434,0.022286415100097656,0.00849461555480957,-0.021002531051635742,2587
28,28,8,2106209.6039992105,2108443.4948425507,2108443.4948425507,2108443.494824187,2114966.1311297077,2373.990612931084,60.62227324876014,2.7877474166224916,0.01,-8756.527130497208,0.9821710586547852,0.4515864849090576,0.02465033531188965,0.008649826049804688,-0.0207061767578125,2644
29,29,8,2107702.8899837686,2108443.4948425507,2108443.4948425507,2108443.494824187,2114928.804354669,2301.348273876123,59.289967319404205,2.927134787453616,0.01,-7225.914370900456,0.9961414337158203,0.45137882232666016,0.027980566024780273,0.008697509765625,-0.021218061447143555,2799
30,30,9,2108828.9853073345,2108828.9853073345,2108828.9853073345,2108828.985289647,2114789.9155764063,1927.7719008689746,55.019866487464874,2.927134787453616,0.01,-5960.930269071795,1.0542006492614746,0.4611837863922119,0.02907419204711914,0.009261369705200195,-0.022974729537963867,2949
31,31,9,2108725.939288606,2108828.9853073345,2108828.9853073345,2108828.985289647,2114521.825027554,2101.756943751592,48.0630719758901,2.927134787453616,0.01,-5795.885738947719,1.0336833000183105,0.4529294967651367,0.025168418884277344,0.00935983657836914,-0.023882150650024414,3040
32,32,10,2109131.7836499047,2109131.7836499047,2109131.7836499047,2109131.7836310104,2114491.935811168,2028.2411705288105,46.15109164724288,2.7807780480809354,0.01,-5360.152161263293,1.0083470344543457,0.4482307434082031,0.02557682991027832,0.00939035415649414,-0.024513959884643555,3153
