,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,824768.908975823,826110.0002632189,826110.0002632189,826110.0002629705,829836.7806179068,2504.8029048673343,149.03888094248185,4.601,0.01,-5067.871642083868,2.131057024002075,0.6664705276489258,0.0304567813873291,0.03814578056335449,-0.04657936096191406,4276
1,1,1,826155.4682210021,826155.4682210021,826155.4682210021,826155.4682164585,826522.1452434635,163.47130565182306,22.77417499045442,4.37095,0.01,-366.6770224613627,9.484927415847778,0.6533517837524414,0.03978109359741211,0.02072739601135254,-0.03965139389038086,4294
2,2,2,826204.6899108717,826204.6899108717,826204.6899108717,826204.6899063068,826371.5205352316,67.36539576819632,13.11695538919535,4.152402499999999,0.01,-166.83062435989615,9.789908409118652,0.7724630832672119,0.036589622497558594,0.02121257781982422,-0.04698443412780762,4342
3,3,3,826207.7654889802,826207.7654889802,826207.7654889802,826207.7654844946,826277.1723457607,43.29492391110398,8.67643508624673,3.944782374999999,0.01,-69.40685678047028,2.1846179962158203,0.6832115650177002,0.04452800750732422,0.02097463607788086,-0.04552435874938965,4451
4,4,4,826210.2727681869,826210.2727681869,826210.2727681869,826210.272763782,826318.6789808699,19.551147718098946,3.715089619995808,3.747543256249999,0.01,-108.40621268310174,10.040156364440918,0.6949751377105713,0.04663848876953125,0.024413347244262695,-0.04955625534057617,4623
5,5,4,826209.9447274994,826210.2727681869,826210.2727681869,826210.272763782,826333.794164934,16.51553514075931,2.7969434841781906,3.747543256249999,0.01,-123.84943743463118,4.12064266204834,0.683657169342041,0.04886269569396973,0.025418758392333984,-0.05335211753845215,4865
6,6,5,826210.9278899452,826210.9278899452,826210.9278899452,826210.9278854737,826316.2591003757,12.135272255865857,2.3458362587677164,3.560166093437499,0.01,-105.3312104304967,11.128074884414673,0.7050156593322754,0.06161761283874512,0.035598039627075195,-0.06383061408996582,5292
7,7,6,826212.9993727813,826212.9993727813,826212.9993727813,826212.9993684787,826308.8939124915,4.076570331817493,2.323422404440847,3.382157788765624,0.01,-95.89453971027474,10.627588510513306,0.6873879432678223,0.060943603515625,0.03542971611022949,-0.0584108829498291,5676
8,8,7,826213.3932875737,826213.3932875737,826213.3932875737,826213.3932833844,826303.9904294257,2.7942213201895356,2.003334579080091,3.2130498993273426,0.01,-90.59714185200488,9.181814432144165,0.6702070236206055,0.046637535095214844,0.04610133171081543,-0.07223749160766602,5922
9,9,8,826214.733184731,826214.733184731,826214.733184731,826214.7331808964,826296.3645580367,2.764681046595797,1.7113005558826382,3.0523974043609754,0.01,-81.6313733057053,5.446165323257446,0.669564962387085,0.04788684844970703,0.04345965385437012,-0.06598639488220215,6228
