,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
0,0,0,-1252993187.7715507,2652240.2056735936,2652240.2056735936,2652240.205673584,2661995.539093592,8667.842475980055,230.3571191306852,6.515000000000001,0.01,-1255655183.3106441,2.4080111980438232,0.8204865455627441,0.04478168487548828,0.017664194107055664,-0.05238199234008789,6205
1,1,0,1325652.8437153618,2652240.2056735936,2652240.2056735936,2652240.205673584,2659753.3296972183,5057.0850566928275,179.3068499859865,6.515000000000001,0.01,-1334100.4859818565,4.288949966430664,0.83074951171875,0.04614067077636719,0.01612401008605957,-0.04940295219421387,6209
2,2,0,2172349.739144819,2652240.2056735936,2652240.2056735936,2652240.205673584,2659238.09930415,4713.750295243692,173.74513888233585,6.515000000000001,0.01,-486888.3601593309,2.471683979034424,0.8219902515411377,0.04467916488647461,0.016844749450683594,-0.04977607727050781,6213
3,3,0,2469664.2374098557,2652240.2056735936,2652240.2056735936,2652240.205673584,2659007.082234727,4672.916922617704,172.6111687649589,6.515000000000001,0.01,-189342.8448248713,2.491232395172119,0.8254067897796631,0.046074628829956055,0.016070842742919922,-0.04786205291748047,6219
4,4,0,2593441.035457456,2652240.2056735936,2652240.2056735936,2652240.205673584,2658506.937440513,4185.064645437989,170.05628805692507,6.515000000000001,0.01,-65065.901983057185,2.5199058055877686,0.8403582572937012,0.0460658073425293,0.017194271087646484,-0.05022454261779785,6229
5,5,0,2631213.17361334,2652240.2056735936,2652240.2056735936,2652240.205673584,2658321.2752789594,4111.449478833005,168.63888059700193,6.840750000000001,0.01,-27108.101665619397,2.517819404602051,0.8257887363433838,0.045586585998535156,0.018618345260620117,-0.04857468605041504,6244
6,6,0,2641823.5319916485,2652240.2056735936,2652240.2056735936,2652240.205673584,2657746.561603473,3646.899361329619,155.50112778667878,6.840750000000001,0.01,-15923.029611824317,11.587555646896362,0.8351538181304932,0.04537844657897949,0.01621532440185547,-0.047850847244262695,6259
7,7,0,2649830.086379218,2652240.2056735936,2652240.2056735936,2652240.205673584,2657699.014780543,3623.08022372704,155.1578287465873,6.840750000000001,0.01,-7868.928401324714,2.529278516769409,0.8213927745819092,0.04603767395019531,0.019209623336791992,-0.05068325996398926,6298
8,8,1,2652867.8635061528,2652867.8635061528,2652867.8635061528,2652867.8635048065,2657670.1375352642,3611.856904468499,154.71122764284607,6.840750000000001,0.01,-4802.274029111293,2.4704580307006836,0.8179664611816406,0.047393083572387695,0.01648688316345215,-0.04810070991516113,6363
9,9,1,2652706.893208768,2652867.8635061528,2652867.8635061528,2652867.8635048065,2661158.196473864,6412.298180880491,152.2573655623648,6.840750000000001,0.01,-8451.303265095881,2.516676902770996,0.8418610095977783,0.04887223243713379,0.016289949417114258,-0.05007219314575195,6450
